FILE:2016-11-25 09:06:17,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\渗压计、测压管、水文孔、量水堰\水位孔\水位孔（一期）.xlsx
FILE:2016-11-25 09:06:17,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\渗压计、测压管、水文孔、量水堰\水位孔\水位孔（二期）.xlsx
DATA:PB1-2,78,Cell index must be >= 0
DATA:PB1-2,79,Cell index must be >= 0
DATA:PB3-1,30,Cell index must be >= 0
DATA:PB3-1,31,Cell index must be >= 0
DATA:PB3-1,32,Cell index must be >= 0
DATA:PB3-1,33,Cell index must be >= 0
DATA:PB3-2,30,Cell index must be >= 0
DATA:PB3-2,31,Cell index must be >= 0
DATA:PB3-2,32,Cell index must be >= 0
DATA:PB3-2,33,Cell index must be >= 0
FILE:2016-11-25 09:06:17,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\地下洞室\右岸地下厂房243高程以下(j)\243高程以下-渗压计.xlsx
DATA:Pj1-2,4,测值异常
DATA:Pj2-1,4,测值异常
DATA:Pj2-2,4,测值异常
FILE:2016-11-25 09:06:17,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\地下洞室\右岸地下厂房尾水主洞(ab-678)\尾水主洞-渗压计.xlsx
DATA:Pa6-2,4,测值异常
DATA:Pa7-2,4,测值异常
DATA:Pa8-1,4,测值异常
DATA:Pa8-2,4,测值异常
DATA:Pb6-1,4,测值异常
DATA:Pb6-2,4,测值异常
DATA:Pb7-1,4,测值异常
DATA:Pb8-1,4,测值异常
DATA:Pb8-2,4,测值异常
FILE:2016-11-25 09:06:17,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\地下洞室\右岸地下厂房尾水扩散段(w)\尾水扩散段-渗压计.xlsx
DATA:Pw2-1,4,测值异常
DATA:Pw2-2,4,测值异常
DATA:PW3-1,4,测值异常
FILE:2016-11-25 09:06:17,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\地下洞室\右岸地下厂房尾水支洞(ab-5)\尾水支洞-渗压计.xlsx
DATA:Pa5-1,4,测值异常
DATA:Pa5-2,4,测值异常
DATA:Pb5-1,4,测值异常
DATA:Pb5-2,4,测值异常
FILE:2016-11-25 09:06:17,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\地下洞室\右岸地下厂房引水洞(ab-1234)\引水洞-渗压计.xlsx
DATA:Pa1-2,339,Cell index must be >= 0
DATA:Pa1-2,340,Cell index must be >= 0
DATA:Pa1-2,341,Cell index must be >= 0
DATA:Pa1-2,342,Cell index must be >= 0
DATA:Pa1-2,343,Cell index must be >= 0
DATA:Pa1-2,344,Cell index must be >= 0
